날짜,이름
0520,WoodSorrel
0521,Larkspur
0522,Fuchsia
0523,LeafBuds
0524,Heliotrope
0525,Pansy
0526,Olive
0527,Daisy
0528,Mint
0529,Clover
0530,Lilac
0531,Barnardia
0601,MaidenBlushRose
0602,Columbine
0603,Flax
0604,DamaskRose
0605,Marigold
0606,YellowWaterFlag
0607,Schmidtiana
0608,Jasmine
0609,SweetPea
0610,SweetWilliam
0611,FritillariaThunbergii
0612,ResedaOdorata
0613,FoxGlove
0614,Anagallis
0615,Carnation
0616,TubeRose
0617,Clover
0618,Thyme
0619,SweetBrier
0620,Speedwell
0621,EveningPrimrose
0622,Vihurnum
0623,HollyHock
0624,GardenVerbena
0625,MorningGlory
0626,Lilac
0627,PassionFlower
0628,Geranium
0629,Geranium
0630,HoneySuckle
0701,FigMarigold
0702,SnapDragon
0703,Papaver
0704,LilyMagnolia
0705,Lavendar
0706,SunFlower
0707,GooseBerry
0708,Birdfoot
0709,IvyleavedGeranium
0710,CanterburyBell
0711,Asphodel
0712,Solanum
0713,FlowerofGrass
0714,Phlox
0715,AustrianBriarRose
0716,Stock
0717,WhiteRose
0718,MossRose
0719,Aconite
0720,EggPlant
0721,YellowRose
0722,SuperbPink
0723,YorkLancasterRose
0724,Trillium
0725,ElderTree
0726,Wornwood
0727,Geranium
0728,DianthusSuperbus
0729,Cactus
0730,Linden
0731,Pumpkin
0801,Papaver
0802,CornFlower
0803,FlowerofanHour
0804,Corn
0805,Heath
0806,TrumpetFlower
0807,Pomegranate
0808,Azalea
0809,Cistus
0810,Moss
0811,GeraniumZonal
0812,Oleander
0813,GoldenRod
0814,WallGermander
0815,SunFlower
0816,Tamarindus
0817,TulipTree
0818,HollyHock
0819,RoseCampion
0820,Freesia
0821,Agrimony
0822,Spirea
0823,LimeTreeLinden
0824,Calendula
0825,FlamingFlower
0826,HypoxisAurea
0827,Osumunda
0828,Eryngium
0829,FloweringTabaccoPlant
0830,WallGermander
0831,Clover
0901,TigerFlower
0902,Cobaea
0903,Marguerite
0904,Geum
0905,Elm
0906,Nasturtium
0907,Orange
0908,Mustard
0909,MichaelmasDaisy
0910,ChinaAster
0911,Aloe
0912,Clematis
0913,WeepingWillow
0914,Quince
0915,Dahlia
0916,Gentina
0917,Heath
0918,Thistle
0919,Carex
0920,Rosemary
0921,AutumnCrocus
0922,QuakingGrass
0923,YewTree
0924,OrangeBlossom
0925,AnimatedOat
0926,DatePlum
0927,Oak
0928,Amaranthus
0929,AppleBlossom
0930,Cedar
1001,Chrysanthemum
1002,ApricotBlossom
1003,Maple
1004,CommonHop
1005,WindmillPalm
1006,Hazel
1007,Fir
1008,Parsley
1009,Fennel
1010,Melon
1011,Lythrum
1012,Lingonberry
1013,Spirea
1014,Chrysanthemum
1015,SweetBasil
1016,MossRose
1017,Grape
1018,Cranberry
1019,Balsam
1020,IndianHemp
1021,Thistle
1022,Arrowhead
1023,DaturaMetel
1024,PrunusMume
1025,Aceracede
1026,Rumex
1027,BriarRose
1028,RoseofSharon
1029,RugosaRose
1030,Lobelia
1031,Calla
1101,Medlar
1102,Lupinus
1103,Bryonia
1104,HartsTongueFeen
1105,FigMarigold
1106,Eupatorium
1107,AfricanMarigold
1108,LychnisKiusiana
1109,Myrrh
1110,HibiscusMutabilis
1111,WhiteCamellia
1112,Lemon
1113,LemonVerbena
1114,Pine
1115,CrownVetch
1116,ChristmasRose
1117,Butterbur
1118,GoldenRayedLily
1119,Saxifraga
1120,Bugloss
1121,Campanula
1122,Berberis
1123,Fern
1124,Viburnum
1125,RhusTrichocarpa
1126,Yarrow
1127,NutgallTree
1128,ChinaAster
1129,Baccharis
1130,DryGrasses
1201,Tansy
1202,Moss
1203,Lavender
1204,Rumex
1205,Ambrosia
1206,Saxifraga
1207,Fern
1208,Reed
1209,Chrysanthemum
1210,Camellia
1211,FigMarigold
1212,CottonPlant
1213,Chrysanthemum
1214,Pine
1215,WinterDaphne
1216,Alder
1217,HoneyPlant
1218,Sage
1219,SnowFlake
1220,Pineapple
1221,Mint
1222,Zinnia
1223,Platanus
1224,Mistletoe
1225,Holly
1226,ChristmasRose
1227,PrunusMume
1228,Pomegranate
1229,BladderCherry
1230,YellowWintersweet
1231,Chamaecyparis
